Company,Role,Location,Work Type,Visa Sponsored,Pay Range,Source,Date Applied,Status,Job URL,Resume Used,Cover Letter,Priority
Plaid,FinTech Account Manager - Named,New York,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/8ca14e45-6c18-4156-a169-9352653559b6,,N,4
Plaid,FinOps Program Manager,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/acb399b1-e0f8-45f3-bffa-c89c9c573a12,,N,4
Plaid,"Experienced Engineering Manager, Network Enablement and Access (NEA)",New York,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/812f0dc6-d4a0-4fdd-8e0a-a084cf823ce1,,N,4
Plaid,Executive Editorial Lead,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,2026-04-09 20:20,Applied,https://jobs.lever.co/plaid/5d376246-e5ed-4dea-a306-19570dcb07c4,nodejs_fullstack,N,4
Plaid,"Executive Assistant, Product & Engineering",New York,On-site (Visa Sponsored),Y,Not Listed,Lever,2026-04-09 20:20,Applied,https://jobs.lever.co/plaid/8bc2bf33-95a0-4783-a21f-bd73a1a61149,nodejs_fullstack,N,4
Plaid,Enterprise Account Executive - Territory Accounts,New York,On-site (Visa Sponsored),Y,Not Listed,Lever,2026-04-09 20:20,Applied,https://jobs.lever.co/plaid/f21be8a8-a438-48e7-a364-ac953bddfb14,nodejs_fullstack,N,4
Plaid,Enterprise Account Executive - Named Accounts,United States,On-site (Visa Sponsored),Y,Not Listed,Lever,2026-04-09 20:20,Applied,https://jobs.lever.co/plaid/deb9ac4e-0f8c-4b18-8949-e4b97ff6f8a0,nodejs_fullstack,N,4
Plaid,Engineering Manager - Security,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,2026-04-09 20:20,Applied,https://jobs.lever.co/plaid/6dddfff8-0fa6-4bde-bbb7-c80bfdf5fed2,nodejs_fullstack,N,4
Plaid,Engineering Manager - Payment Risk,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,2026-04-09 20:20,Applied,https://jobs.lever.co/plaid/da1aae0b-ce8f-47e8-9cb8-233d8bf75a5a,nodejs_fullstack,N,4
Plaid,Engineering Manager - Intelligent Tooling,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,2026-04-09 20:20,Applied,https://jobs.lever.co/plaid/5731dc74-0cf9-43ab-98db-c5e961370e7d,nodejs_fullstack,N,4
Plaid,Engineering Manager - Data Partner Experience,New York,On-site (Visa Sponsored),Y,Not Listed,Lever,2026-04-09 20:20,Applied,https://jobs.lever.co/plaid/bee1b55e-c287-4fa4-a0a0-24f301c5505b,nodejs_fullstack,N,4
Plaid,Engineering Manager - Consumer,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,2026-04-09 20:20,Applied,https://jobs.lever.co/plaid/b2d4d105-9183-4982-8065-58126093c02d,nodejs_fullstack,N,4
Plaid,Digital Marketing Manager,New York,On-site (Visa Sponsored),Y,Not Listed,Lever,2026-04-09 20:20,Applied,https://jobs.lever.co/plaid/9a7fdf04-036a-4e38-adcd-cbff770f6f82,nodejs_fullstack,N,4
Plaid,Data Scientist - Network Value,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,2026-04-09 20:20,Applied,https://jobs.lever.co/plaid/18503c02-17a0-4c47-98c8-155b0b6ccc2a,nodejs_fullstack,N,4
Plaid,Data Scientist - Fraud,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,2026-04-09 20:20,Applied,https://jobs.lever.co/plaid/619ed4a1-1bfb-4ad9-8309-b073135ec771,nodejs_fullstack,N,4
Plaid,Content Lead,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,2026-04-09 20:20,Applied,https://jobs.lever.co/plaid/91aa0788-efa4-4c31-a181-5b74e7f27128,nodejs_fullstack,N,4
Plaid,Commercial Lead - Partnerships,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,2026-04-09 20:20,Applied,https://jobs.lever.co/plaid/578cc78a-4b7d-4b51-90b3-efbbb2565366,nodejs_fullstack,N,4
Plaid,Commercial,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,2026-04-09 20:20,Applied,https://jobs.lever.co/plaid/04b342bf-6012-433f-918a-3d147f86595c,nodejs_fullstack,N,4
Plaid,Channel Business Development & Enablement Manager - Banking and Wealth,New York,On-site (Visa Sponsored),Y,Not Listed,Lever,2026-04-09 20:20,Applied,https://jobs.lever.co/plaid/5e042593-5dc6-4b71-910f-2c30aaa4017d,nodejs_fullstack,N,4
Plaid,Business Operations,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,2026-04-09 20:20,Applied,https://jobs.lever.co/plaid/615ff21b-54e1-4511-845e-12a3d1cea521,nodejs_fullstack,N,4
Plaid,Brand Design Manager - Growth,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,2026-04-09 20:20,Applied,https://jobs.lever.co/plaid/b2eef61c-c66a-46f3-bc55-477f5836f5bc,nodejs_fullstack,N,4
